Own,Res,PolyNm,PolyPr,Mxpolypr ,TotOwn,AvParcl
RR,0,1,1.016995588,1.017,4053.334,171.498
IND,0,4,0.252455927,0.2805,90.0248,135.059
IND,0,1,0.993317521,0.99331,366.9356,329.303
IND,0,2,0.50270133,0.74172,366.9356,229.911
IND,0,3,0.334013085,0.51662,130.5195,100.485
IND,0,2,0.501340041,0.75389,458.3019,247.967
IND,0,1,0.995862668,0.99586,458.3019,458.302
IND,0,1,1.009067109,1.00907,458.3019,458.302
RR,0,2,0.499220396,0.74683,1334.787,287.635
IND,0,1,1.006003448,1.006,151.1489,151.149
IND,0,1,0.976815466,0.97681,156.4788,156.479
IND,0,2,0.504625265,0.74634,242.9864,143.497
IND,0,2,0.503265704,0.73859,242.9864,142.907
IND,0,2,0.500901445,0.77062,127.6332,82.9608
IND,0,4,0.250642196,0.27015,46.0002,42.678
IND,0,4,0.253089271,0.25604,43.3563,42.855
RR,0,1,1.009091495,1.00909,841.5028,355.503
IND,0,2,0.503540609,0.75102,121.7559,81.6335
IND,0,2,0.500809527,0.75973,124.9133,240.208
RR,0,1,1.010163724,1.01016,841.5028,355.503
RR,0,1,1.02138192,1.02138,4053.334,486.375
RR,0,1,1.014566932,1.01457,4053.334,486.375
RR,0,1,1.003840915,1.00384,4053.334,486.375
RR,0,1,1.005621177,1.00562,841.5028,486
RR,0,2,0.510217477,0.75895,4053.334,80.6112
RR,0,1,1.025178589,1.02518,841.5028,486
RR,0,1,1.024827361,1.02483,841.5028,486
RR,0,2,0.514417712,0.78839,4053.334,297.462
RR,0,1,0.97027094,0.97026,4053.334,396.251
RR,0,2,0.498724986,0.74999,4053.334,217.96
IND,0,1,1.002838645,1.00284,198.6722,198.672
IND,0,2,0.495803794,0.50574,114.8322,154.049
IND,0,2,0.509582869,0.54231,164.0942,156.741
IND,0,2,0.509583796,0.52479,164.0942,156.741
IND,0,2,0.494996729,0.75636,193.2654,154.049
RR,0,1,0.978920034,0.97892,4053.334,313.794
IND,0,4,0.250005729,0.25952,40.7733,39.2774
IND,0,2,0.500018507,0.5008,78.4736,78.3503
RR,0,1,1.00728438,1.00728,4053.334,313.794
IND,0,3,0.333548001,0.50201,79.5893,52.8807
