ID,X,Y,Cover1857,Cover1930,Cover1987
24502032,473428.2288,659795.3274,Hemlock-Yellow Birch,Aspen-Paper Birch,Upland Shrub-Herb
24502041,472616.7654,659811.3787,Hemlock-Yellow Birch,Aspen-Paper Birch,Aspen-Paper Birch
24502042,471794.6136,659850.9343,Hemlock-Yellow Birch,Aspen-Paper Birch,Aspen-Paper Birch
24502043,471796.5087,659045.5964,Pine Species,Aspen-Paper Birch,Aspen-Paper Birch
24502044,472639.4134,658990.0495,Northern Hardwood,Aspen-Paper Birch,Upland Shrub-Herb
24502051,470988.0836,659889.7744,Hemlock-Yellow Birch,Aspen-Paper Birch,Aspen-Paper Birch
24502052,470201.376,659927.9836,Hemlock-Yellow Birch,Northern Hardwood,Aspen-Paper Birch
24502053,470194.145,659146.9358,Hemlock-Yellow Birch,Aspen-Paper Birch,Aspen-Paper Birch
24502054,470981.5986,659098.7605,Pine Species,Aspen-Paper Birch,Aspen-Paper Birch
24502061,469402.2693,659941.2846,Hemlock-Yellow Birch,Aspen-Paper Birch,Other or No Data
24502062,468581.7067,659930.0038,Aspen-Paper Birch,Aspen-Paper Birch,Aspen-Paper Birch
24502063,468575.048,659139.9726,Hemlock-Yellow Birch,Northern Hardwood,Upland Shrub-Herb
24502064,469398.2471,659161.0624,Hemlock-Yellow Birch,Aspen-Paper Birch,Aspen-Paper Birch
24502071,469393.4185,658342.0749,Hemlock-Yellow Birch,Northern Hardwood,Upland Shrub-Herb
24502072,468566.8423,658331.8818,Northern Hardwood,Aspen-Paper Birch,Upland Shrub-Herb
24502073,468561.3586,657522.5772,Hemlock-Yellow Birch,Northern Hardwood,Ag-Grassland
24502081,470980.7152,658299.5481,Northern Hardwood,Aspen-Paper Birch,Aspen-Paper Birch
24502082,470187.6025,658330.3944,Hemlock-Yellow Birch,Northern Hardwood,Northern Hardwood
24502083,470185.7681,657503.2718,Hemlock-Yellow Birch,Ag-Grassland,Boreal Conifer-Hardwood
24502084,470990.08,657507.0984,Northern Hardwood,Aspen-Paper Birch,Aspen-Paper Birch
24502091,472634.522,658196.504,Northern Hardwood,Aspen-Paper Birch,Northern Hardwood
24502092,471799.112,658257.3868,Northern Hardwood,Aspen-Paper Birch,Aspen-Paper Birch
24502093,471797.0585,657475.8077,Northern Hardwood,Aspen-Paper Birch,Northern Hardwood
24502171,470987.6117,656706.5553,Northern Hardwood,Northern Hardwood,Northern Hardwood
24502172,470182.5775,656694.2719,Hemlock-Yellow Birch,Northern Hardwood,Upland Shrub-Herb
24502173,470169.5258,655899.7213,Northern Hardwood,Northern Hardwood,Boreal Conifer-Hardwood
24502174,470964.307,655894.1593,Northern Hardwood,Aspen-Paper Birch,Boreal Conifer-Hardwood
24503011,467764.3811,659924.5896,Aspen-Paper Birch,Aspen-Paper Birch,Boreal Conifer-Hardwood
24503012,466962.6604,659922.9415,Pine Species,Aspen-Paper Birch,Boreal Conifer-Hardwood
24503013,466958.0306,659118.7987,Hemlock-Yellow Birch,Aspen-Paper Birch,Boreal Conifer-Hardwood
24503014,467753.5564,659122.8537,Hemlock-Yellow Birch,Aspen-Paper Birch,Ag-Grassland
24503021,466169.2174,659922.9938,Lowland Forest,Aspen-Paper Birch,Boreal Conifer-Hardwood
24503022,465384.6903,659924.7206,Hemlock-Yellow Birch,Aspen-Paper Birch,Aspen-Paper Birch
24503023,465382.4974,659125.7659,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24503024,466165.1799,659122.903,Northern Hardwood,Ag-Grassland,Upland Shrub-Herb
24503031,464591.2273,659928.0282,Hemlock-Yellow Birch,Aspen-Paper Birch,Aspen-Paper Birch
24503032,463794.4091,659939.3045,Pine Species,Ag-Grassland,Ag-Grassland
24503033,463798.2453,659133.9734,Aspen-Paper Birch,Ag-Grassland,Ag-Grassland
24503034,464592.9772,659131.6574,Hemlock-Yellow Birch,Aspen-Paper Birch,Upland Shrub-Herb
24503041,463002.4293,659946.2686,Pine Species,Ag-Grassland,Ag-Grassland
24503042,462210.4081,659956.7004,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24503043,462195.9585,659152.948,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24503044,462999.9455,659141.594,Aspen-Paper Birch,Ag-Grassland,Ag-Grassland
24503051,461411.013,659968.4687,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24503052,460607.0191,659980.0494,Aspen-Paper Birch,Ag-Grassland,Ag-Grassland
24503053,460611.8839,659180.5375,Lowland Forest,Ag-Grassland,Ag-Grassland
24503054,461398.8438,659169.3496,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24503061,459798.8824,659977.7541,Northern Hardwood,Ag-Grassland,Ag-Grassland
24503062,459022.8844,659973.7046,Lowland Forest,Aspen-Paper Birch,Ag-Grassland
24503063,459028.0848,659172.4574,Hemlock-Yellow Birch,Ag-Grassland,Upland Shrub-Herb
24503064,459813.5355,659184.5919,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24503071,459812.3412,658377.2302,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24503072,459027.2409,658373.0651,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24503073,459020.5322,657575.0922,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24503074,459805.2436,657570.8238,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24503081,461393.6193,658362.3944,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24503082,460606.9808,658373.636,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24503083,460602.4819,657565.0865,Hemlock-Yellow Birch,Northern Hardwood,Aspen-Paper Birch
24503084,461395.9347,657557.9148,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24503091,462993.7665,658342.4429,Aspen-Paper Birch,Ag-Grassland,Ag-Grassland
24503092,462188.8806,658352.0128,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24503093,462190.7968,657551.5569,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24503094,462988.0734,657547.6323,Hemlock-Yellow Birch,Ag-Grassland,Upland Shrub-Herb
24503101,464586.9351,658329.7186,Hemlock-Yellow Birch,Aspen-Paper Birch,Boreal Conifer-Hardwood
24503102,463793.4223,658335.4101,Hemlock-Yellow Birch,Ag-Grassland,Aspen-Paper Birch
24503103,463784.8172,657541.2995,Lowland Forest,Ag-Grassland,Upland Shrub-Herb
24503104,464579.5165,657532.5546,Northern Hardwood,Ag-Grassland,Ag-Grassland
24503111,466161.4239,658320.8386,Northern Hardwood,Ag-Grassland,Boreal Conifer-Hardwood
24503112,465376.4319,658324.6612,Northern Hardwood,Ag-Grassland,Ag-Grassland
24503113,465370.4338,657525.2818,Northern Hardwood,Ag-Grassland,Ag-Grassland
24503114,466158.1093,657521.3205,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24503121,467746.3811,658321.4594,Northern Hardwood,Ag-Grassland,Upland Shrub-Herb
24503122,466950.7314,658316.7847,Aspen-Paper Birch,Ag-Grassland,Boreal Conifer-Hardwood
24503123,466949.7768,657521.9072,Hemlock-Yellow Birch,Ag-Grassland,Upland Shrub-Herb
24503124,467742.1859,657524.7584,Hemlock-Yellow Birch,Ag-Grassland,Upland Shrub-Herb
24503131,467743.1774,656724.2013,Hemlock-Yellow Birch,Northern Hardwood,Upland Shrub-Herb
24503132,466945.4893,656721.9232,Hemlock-Yellow Birch,Ag-Grassland,Upland Shrub-Herb
24503141,466152.3159,656723.6396,Northern Hardwood,Ag-Grassland,Pine Species
24503142,465363.1646,656728.9733,Northern Hardwood,Northern Hardwood,Upland Shrub-Herb
24503151,464571.0982,656736.0774,Northern Hardwood,Northern Hardwood,Upland Shrub-Herb
24503152,463777.662,656743.1566,Lowland Forest,Ag-Grassland,Upland Shrub-Herb
24503161,462984.7302,656747.4024,Northern Hardwood,Aspen-Paper Birch,Upland Shrub-Herb
24503162,462190.6936,656750.3997,Hemlock-Yellow Birch,Northern Hardwood,Upland Shrub-Herb
24503163,462188.3876,655950.2644,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24503171,461395.0435,656755.4905,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24503172,460599.6034,656759.192,Hemlock-Yellow Birch,Northern Hardwood,Upland Shrub-Herb
24503173,460596.5366,655954.7571,Hemlock-Yellow Birch,Northern Hardwood,Northern Hardwood
24503174,461393.1023,655953.9056,Hemlock-Yellow Birch,Ag-Grassland,Upland Shrub-Herb
24503181,459799.4987,656765.4233,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24503182,459015.791,656774.8595,Hemlock-Yellow Birch,Northern Hardwood,Upland Shrub-Herb
24503183,459013.3365,655972.3537,Northern Hardwood,Ag-Grassland,Ag-Grassland
24503184,459796.4911,655961.011,Hemlock-Yellow Birch,Ag-Grassland,Northern Hardwood
24503201,461389.5942,655156.5768,Other or No Data,Other or No Data,Other or No Data
24503202,460593.9845,655157.9957,Hemlock-Yellow Birch,Northern Hardwood,Northern Hardwood
24504011,458257.5582,659976.6227,Lowland Forest,Ag-Grassland,Ag-Grassland
24504012,457460.3866,659982.2153,Lowland Forest,Ag-Grassland,Ag-Grassland
24504013,457456.0144,659188.2574,Lowland Forest,Ag-Grassland,Ag-Grassland
24504014,458252.1395,659176.5577,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24504021,456657.4807,659982.061,Aspen-Paper Birch,Ag-Grassland,Ag-Grassland
24504022,455854.7861,659974.384,Aspen-Paper Birch,Ag-Grassland,Ag-Grassland
24504023,455857.5377,659168.5678,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24504024,456657.7658,659185.5381,Lowland Forest,Ag-Grassland,Ag-Grassland
24504031,455050.5943,659971.4855,Aspen-Paper Birch,Ag-Grassland,Ag-Grassland
24504032,454243.8246,659974.5987,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24504033,454243.3514,659160.49,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24504034,455052.5067,659160.3478,Lowland Forest,Ag-Grassland,Ag-Grassland
24504041,453436.376,659981.1498,Hemlock-Yellow Birch,Ag-Grassland,Ag-Grassland
24504042,452629.99,659992.0942,Northern Hardwood,Ag-Grassland,Ag-Grassland
24504043,452626.1832,659162.9871,Boreal Conifer-Hardwood,Ag-Grassland,Ag-Grassland
