row.names,state,st,county,long,Y60,Y61,Y62,Y63,Y64,Y65,Y66,Y67,Y68,Y69,Y70,Y71,Y72,Y73,Y74,Y75,Y76,Y77,Y78,Y79,Y80,Y81,Y82,Y83,Y84,Y85,Y86,Y87,Y88,Y89,Y90,Y91,Y92,Y93,Y94,Y95,Y96,ACRES,SAW,XERIC,HYDRIC,MAXTF,PRCPF,MAXTW,PRCPW,MAXTSP,PRCPSP,MAXTSU,PRCPSU,LNELEV,NATFOR,PHAT,YneighB.1,YneighB.2,YneighB.3,YneighB.4,YneighB.5,YneighB.6,YneighB.7,YneighB.8,YneighB.9,YneighB.10,YneighB.11,YneighB.12,YneighB.13,YneighB.14,YneighB.15,YneighB.16,YneighB.17,YneighB.18,YneighB.19,YneighB.20,YneighB.21,YneighB.22,YneighB.23,YneighB.24,YneighB.25,YneighB.26,YneighB.27,YneighB.28,YneighB.29,YneighB.30,YneighB.31,YneighB.111,YneighB.222,YneighB.33,YneighB.44,YneighB.55,YneighB.66,YneighB.77,YneighB.88,YneighB.99,YneighB.1010,YneighB.1111,YneighB.1212,YneighB.1313,YneighB.1414,YneighB.1515,YneighB.1616,YneighB.1717,YneighB.1818,YneighB.1919,YneighB.2020,YneighB.2121,YneighB.2222,YneighB.2323,YneighB.2424,YneighB.2525,YneighB.2626,YneighB.2727,YneighB.2828,YneighB.2929,YneighB.3030,YneighB.3131
1,North Carolina,37,  1,-79.3984,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78419e5, 35.3,  0  ,  3.3,71.7648,3.2737,50.7222,3.5377,70.5576,3.7577,87.4196,4.273 ,6.4249,  0  ,0.0968,0,0,1,1,1,1,0,1,3,1,0,0,3,3,5,5,5,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,0,1,3,1,0,0,3,3,5,5,5,1,0,0,1,0,0,0,0,0,0,0,2,0,0
2,North Carolina,37,  3,-81.177 ,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68538e5, 32.4, 20  ,  0  ,70.1011,3.6854,49.8533,3.7589,69.2598,4.1728,85.2511,4.2512,7.0397,  0  ,0.1613,0,0,0,0,2,1,2,0,1,1,0,1,3,3,4,4,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,0,1,1,0,1,3,3,4,4,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0
3,North Carolina,37,  5,-81.1302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50093e5,  1.3, 20.6,  0  ,63.6978,4.0714,44.6833,3.422 ,63.225 ,4.3113,78.9174,4.2815,7.9692,  0  ,0     ,0,0,0,0,1,1,1,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,North Carolina,37,  7,-80.1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43834e5,163.8,  0  ,  0  ,73.5   ,3.6258,53.9089,4.0308,72.7935,3.7593,87.7478,4.5892,5.7236,  0  ,0     ,0,0,2,1,1,0,0,0,0,1,0,0,2,2,2,3,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,2,2,2,3,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0
5,North Carolina,37,  9,-81.5017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72742e5,  5.1, 18  ,  0  ,63.6978,4.0714,44.6833,3.422 ,63.225 ,4.3113,78.9174,4.2815,7.9541,  0.3,0     ,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,North Carolina,37, 11,-81.9231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58125e5,  0  , 19.4,  0  ,59.9989,5.4485,40.4456,4.613 ,58.1304,5.905 ,74.387 ,5.7237,8.4141, 27.8,0.0323,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0
7,North Carolina,37, 13,-76.8448,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12979e5,211.9,  0  , 13.5,74.3286,3.4536,54.3389,3.5468,72.4239,3.8705,87.7511,5.1142,2.6391,  0  ,0.2258,0,0,0,0,0,1,0,1,1,2,1,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,North Carolina,37, 15,-76.963 ,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4.71379e5,126.4,  0  , 23.1,74.3286,3.4536,54.3389,3.5468,72.4239,3.8705,87.7511,5.1142,3.9318,  0  ,0.1613,0,0,0,0,2,3,1,2,0,2,3,0,2,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,0,2,3,0,2,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,North Carolina,37, 17,-78.5559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68205e5,133.9, 38.2, 75.8,75.3978,3.0265,57.3567,3.4883,74.8272,3.6304,87.7185,5.3501,3.8642,  0  ,0.0645,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,North Carolina,37, 19,-78.2214,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71514e5,102.5, 40.5,107  ,75.8319,3.6032,57.7144,3.7344,73.4609,3.7262,87.9859,7.0312,3.3202,  0  ,0.0968,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
