FIPS	pop2006	pop2000	pop1990	pop1980	pop1970	pop1960
19001	7682	8243	8409	9509	9487	10893
19003	4029	4482	4866	5731	6322	7468
19005	14330	14675	13855	15108	14968	15982
19007	12887	13721	13743	15511	15007	16015
19009	6119	6830	7334	8559	9595	10919
19011	26076	25308	22429	23649	22885	23422
19013	131090	128012	123798	137961	132916	122482
19015	26306	26224	25186	26184	26470	28037
19017	24276	23325	22813	24820	22737	21108
19019	20958	21093	20844	22900	21746	22293
19021	20260	20411	19965	20774	20693	21189
19023	14867	15305	15731	17668	16953	17467
19025	9670	11115	11508	13542	14287	15923
19027	20816	21421	21423	22951	22912	23431
19029	13956	14684	15128	16932	17007	17919
19031	18499	18187	17381	18635	17655	17791
19033	44151	46447	46733	48458	49335	49894
19035	12072	13035	14098	16238	17269	18598
19037	12439	13095	13295	15437	14969	15034
19039	9286	9133	8287	8612	7581	8222
19041	16667	17372	17585	19576	18464	18504
19043	18129	18678	19054	21098	20606	21962
19045	49116	50149	51040	57122	56749	55060
19047	17096	16942	16775	18935	18780	18569
19049	66135	40750	29755	29513	26085	24123
19051	8753	8541	8312	9104	8207	9199
19053	8457	8689	8338	9794	9737	10539
19055	17764	18404	18035	18933	18770	18483
19057	40325	42351	42614	46203	46982	44605
19059	16667	16424	14909	15629	12565	12574
19061	93653	89143	86403	93745	90609	80048
19063	10302	11027	11569	13336	14009	14871
19065	20880	22008	21843	25488	26898	28581
19067	16303	16900	17058	19597	19860	21102
19069	10680	10704	11364	13036	13255	15472
19071	7441	8010	8226	9401	9282	10282
19073	9336	10366	10045	12119	12716	14379
19075	12453	12369	12029	14366	14119	14132
19077	10954	11353	10935	11983	12243	13607
19079	15673	16438	16071	17862	18383	20032
19081	11341	12100	12638	13833	13227	14604
19083	17534	18812	19094	21776	22248	22533
19085	14928	15666	14730	16348	16240	17600
19087	20145	20336	19226	18890	18114	18187
19089	9566	9932	9809	11114	11442	12734
19091	9815	10381	10756	12246	12519	13156
19093	7089	7837	8365	8908	9190	10269
19095	16355	15671	14630	15429	15419	16396
19097	19848	20296	19950	22503	20839	20754
19099	36842	37213	34795	36425	35425	35282
19101	16843	16181	16310	16316	15774	15818
19103	130882	111006	96119	81717	72127	53663
19105	20638	20221	19444	20401	19868	20693
19107	10511	11400	11624	12921	13943	15492
19109	15543	17163	18591	21891	22937	25314
19111	35862	38052	38687	43106	42996	44207
19113	211226	191701	168767	169775	163213	136899
19115	11387	12183	11592	12055	10682	10290
19117	8898	9422	9070	10313	10163	10923
19119	11581	11763	11952	12896	13340	14468
19121	15679	14019	12483	12597	11558	12295
19123	22381	22335	21522	22867	22177	23602
19125	33309	32052	30001	29669	26352	25886
19127	40648	39311	38276	41652	41076	37984
19129	15059	14547	13202	13406	11606	13050
19131	10776	10874	10928	12329	13108	14043
19133	9243	10020	10034	11692	12069	13916
19135	7970	8016	8114	9209	9357	10463
19137	10740	11771	12076	13413	12781	14467
19139	42745	41722	39907	40436	37181	33840
19141	14398	15102	15444	16972	17522	18840
19143	6462	7003	7267	8371	8555	10064
19145	15932	16976	16870	19063	18507	21023
19147	9421	10147	10669	12721	13289	14736
19149	24986	24849	23388	24743	24312	23906
19151	7310	8662	9525	11369	12729	14234
19153	430640	374601	327140	303170	286101	266315
19155	93158	87704	82628	86561	86991	83102
19157	18914	18815	19033	19306	18803	19300
19159	5131	5469	5420	6112	6373	7910
19161	10350	11529	12324	14118	15573	17007
19163	165224	158668	150979	160022	142687	119067
19165	12167	13173	13230	15043	15528	15825
19167	33704	31589	29903	30813	27996	26375
19169	89542	79981	74252	72326	62783	49327
19171	17767	18103	17419	19533	20147	21413
19173	6317	6958	7114	8353	8790	10288
19175	12534	12309	12750	13858	13557	13712
19177	7570	7809	7676	8626	8643	9778
19179	35625	36051	35687	40241	42149	46126
19181	46225	40671	36033	34878	27432	20829
19183	21704	20670	19612	20141	18967	19406
19185	6403	6730	7067	8199	8405	9800
19187	38013	40235	40342	45953	48391	47810
19189	10866	11723	12122	13010	12990	13099
19191	21056	21310	20847	21876	21758	21651
19193	102172	103877	98276	100884	103052	107849
19195	7598	7909	7991	9075	8968	10259
19197	13229	14334	14269	16319	17294	19447
17001	67103	68277	66090	71622	70861	68467
17003	8238	9590	10626	12264	12015	16061
17005	17768	17633	14991	16224	14012	14060
17007	54165	41786	30806	28630	25440	20326
17009	6937	6950	5836	5411	5586	6210
17011	34978	35503	35688	39114	38541	37594
17013	5089	5084	5322	5867	5675	5933
17015	15387	16674	16805	18779	19276	19507
17017	13642	13695	13437	15084	14219	14539
17019	201081	179669	173025	168392	163281	132436
17021	34800	35372	34418	36446	35948	37207
17023	16335	17008	15921	16913	16216	16546
17025	13815	14560	14460	15283	14735	15815
17027	37762	35535	33944	32617	28315	24029
17029	53873	53196	51644	52260	47815	42860
17031	5194675	5376741	5105067	5253655	5492369	5129725
17033	19817	20452	19464	20818	19824	20751
17035	11048	11253	10670	11062	9772	9936
17037	105160	88969	77932	74624	71654	51714
17039	16561	16798	16516	18108	16975	17253
17041	19980	19922	19464	19774	18997	19243
17043	916924	904161	781666	658835	491882	313459
17045	18576	19704	19595	21725	21591	22550
17047	6721	6971	7440	7961	7090	7940
17049	34242	34264	31704	30944	24608	23107
17051	22140	21802	20893	22167	20752	21946
17053	14081	14241	14275	15265	16382	16606
17055	39561	39018	40319	43201	38329	39281
17057	37069	38250	38080	43687	41890	41954
17059	5589	6445	6909	7590	7418	7638
17061	13886	14761	15317	16661	17014	17460
17063	50063	37535	32337	30582	26535	22350
17065	8457	8621	8499	9172	8665	10010
17067	19104	20121	21373	23877	23645	24574
17069	4320	4800	5189	5383	4914	5879
17071	7331	8213	8096	9114	8451	8237
17073	50486	51020	51159	57968	53217	49317
17075	29718	31334	30787	32976	33532	33562
17077	60218	59612	61067	61522	55008	42151
17079	9698	10117	10609	11318	10741	11346
17081	38827	40045	37020	36552	31446	32315
17083	22985	21668	20539	20538	18492	17023
17085	22678	22289	21821	23520	21766	21821
17087	12582	12878	11347	9624	7550	6928
17089	515269	404119	317471	278405	251005	208246
17091	113449	103833	96255	102926	97250	92063
17093	114736	54544	39413	37202	26374	17540
17095	52919	55836	56393	61607	61280	61280
17097	703462	644356	516418	440372	382638	293656
17099	113924	111509	106913	112033	111409	110800
17101	16833	15452	15972	17807	17522	18540
17103	36031	36062	34392	36328	37947	38749
17105	38950	39678	39301	41381	40690	40341
17107	30305	31183	30798	31802	33538	33656
17109	32612	32913	35244	37467	36653	28928
17111	308760	260077	183241	147897	111555	84210
17113	169572	150433	129180	119149	104389	83877
17115	110768	114706	117206	131375	125010	118257
17117	47765	49019	47679	49384	44557	43524
17119	269282	258941	249238	247691	250934	224689
17121	39437	41691	41561	43523	38986	39349
17123	12640	13180	12846	14479	13302	13334
17125	14666	16038	16269	19492	16161	15193
17127	15429	15161	14752	14990	13889	14341
17129	12705	12486	11164	11700	9685	9248
17131	16434	16957	17290	19286	17294	17149
17133	32957	27619	22422	20117	18831	15507
17135	30104	30652	30728	31686	30260	31244
17137	35547	36616	36397	37502	36174	36571
17139	14846	14287	13930	14546	13263	13635
17141	53497	51032	45957	46338	42867	38106
17143	186494	183433	182827	200466	195318	189044
17145	22350	23094	21412	21714	19757	19184
17147	16729	16365	15548	16581	15509	14960
17149	16430	17384	17577	18896	19185	20552
17151	4470	4413	4373	4404	3857	4061
17153	6161	7348	7523	8840	8741	10490
17155	6006	6086	5730	6085	5007	4570
17157	33476	33893	34583	35652	31379	29988
17159	16233	16149	16545	17587	16829	16299
17161	147546	149374	148723	165968	166734	150991
17163	270056	256082	262852	267531	285176	262509
17165	24913	26733	26551	28448	25721	26227
17167	197465	188951	178386	176089	161335	146539
17169	7544	7189	7498	8365	8135	8746
17171	5355	5537	5644	6142	6096	6377
17173	22363	22893	22261	23923	22589	23404
17175	5994	6332	6534	7389	7510	8152
17177	47711	48979	48052	49536	48861	46207
17179	135394	128485	123692	132078	118649	99789
17181	17808	18293	17619	17765	16071	17645
17183	81625	83919	88257	95222	97047	96176
17185	11947	12937	13111	13713	12841	14047
17187	17707	18735	19181	21943	21595	21587
17189	14716	15148	14965	15472	13780	13569
17191	16760	17151	17241	18059	17004	19008
17193	14665	15371	16522	17864	17312	19373
17195	58498	60653	60186	65970	62877	59887
17197	677560	502266	357313	324460	249498	191617
17199	66357	61296	57733	56538	49021	46117
17201	295266	278418	252913	250884	246623	209765
17203	38664	35469	32653	33320	28012	24579
18001	34387	33625	31095	29619	26871	24643
18003	355329	331849	300836	294335	280455	232196
18005	76794	71435	63657	65088	57022	48198
18007	8854	9421	9441	10218	11262	11912
18009	12766	14048	14067	15570	15888	14792
18011	56640	46107	38147	36446	30870	27543
18013	15242	14957	14080	12377	9057	7024
18015	20155	20165	18809	19722	17734	16934
18017	38966	40930	38413	40936	40456	40931
18019	110232	96472	87777	88838	75876	62795
18021	26890	26556	24705	24862	23933	24207
18023	33224	33866	30974	31545	30547	30765
18025	10713	10743	9914	9820	8033	8379
18027	31648	29820	27533	27836	26602	26636
18029	50047	46109	38835	34291	29430	28674
18031	25740	24555	23645	23841	22738	20019
18033	42223	40285	35324	33606	30837	28271
18035	117671	118769	119659	128587	129219	110938
18037	41889	39674	36616	34238	30934	27463
18039	197559	182791	156198	137330	126529	106790
18041	24277	25588	26015	28272	26216	24454
18043	74578	70823	64404	61169	55622	51397
18045	17240	17954	17808	19033	18257	18706
18047	23087	22151	19580	19612	16943	17015
18049	20836	20511	18840	19335	16984	16957
18051	33503	32500	31913	33156	30444	29949
18053	70061	73403	74169	80934	83955	75741
18055	33165	33157	30410	30416	26894	26327
18057	274569	182740	108936	82027	54532	40132
18059	70002	55391	45527	43939	35096	26665
18061	39364	34325	29890	27276	20423	19207
18063	145448	104093	75717	69804	53974	40896
18065	49462	48508	48139	53336	52603	48899
18067	82752	84964	80827	86896	83198	69509
18069	37124	38075	35427	35596	34970	33814
18071	42376	41335	37730	36523	33187	30556
18073	33478	30043	24960	26138	20429	18842
18075	21253	21806	21512	23239	23575	22572
18077	32428	31705	29797	30419	27006	24061
18079	28525	27554	23661	22854	19454	17267
18081	139654	115209	88109	77240	61138	43704
18083	38440	39256	39884	41838	41546	41561
18085	77358	74057	65294	59555	48127	40373
18087	37128	34909	29477	25550	20890	17380
18089	496005	484564	475594	522965	546253	513269
18091	111467	110106	107066	108632	105342	95111
18093	46134	45922	42836	42472	38038	36564
18095	131636	133358	130669	139336	138451	125819
18097	903393	860454	797159	765233	792299	697567
18099	47051	45128	42182	39155	34986	32443
18101	10334	10369	10369	11001	10969	10608
18103	36903	36082	36897	39820	39246	38000
18105	137974	120563	108978	98785	84849	59225
18107	38124	37629	34436	35501	33930	32089
18109	68894	66689	55920	51999	44176	33875
