FIPS,2010,2000,1990,1980,1970,1960,,,
19001,7682,8243,8409,9509,9487,10893,Adair,County,
19003,4029,4482,4866,5731,6322,7468,Adams,County,
19005,14330,14675,13855,15108,14968,15982,Allamakee,County,
19007,12887,13721,13743,15511,15007,16015,Appanoose,County,
19009,6119,6830,7334,8559,9595,10919,Audubon,County,
19011,26076,25308,22429,23649,22885,23422,Benton,County,
19013,131090,128012,123798,137961,132916,122482,Black,Hawk,County
19015,26306,26224,25186,26184,26470,28037,Boone,County,
19017,24276,23325,22813,24820,22737,21108,Bremer,County,
19019,20958,21093,20844,22900,21746,22293,Buchanan,County,
19021,20260,20411,19965,20774,20693,21189,Buena,Vista,County
19023,14867,15305,15731,17668,16953,17467,Butler,County,
19025,9670,11115,11508,13542,14287,15923,Calhoun,County,
19027,20816,21421,21423,22951,22912,23431,Carroll,County,
19029,13956,14684,15128,16932,17007,17919,Cass,County,
19031,18499,18187,17381,18635,17655,17791,Cedar,County,
19033,44151,46447,46733,48458,49335,49894,Cerro,Gordo,County
19035,12072,13035,14098,16238,17269,18598,Cherokee,County,
19037,12439,13095,13295,15437,14969,15034,Chickasaw,County,
19039,9286,9133,8287,8612,7581,8222,Clarke,County,
19041,16667,17372,17585,19576,18464,18504,Clay,County,
19043,18129,18678,19054,21098,20606,21962,Clayton,County,
19045,49116,50149,51040,57122,56749,55060,Clinton,County,
19047,17096,16942,16775,18935,18780,18569,Crawford,County,
19049,66135,40750,29755,29513,26085,24123,Dallas,County,
19051,8753,8541,8312,9104,8207,9199,Davis,County,
19053,8457,8689,8338,9794,9737,10539,Decatur,County,
19055,17764,18404,18035,18933,18770,18483,Delaware,County,
19057,40325,42351,42614,46203,46982,44605,Des,Moines,County
19059,16667,16424,14909,15629,12565,12574,Dickinson,County,
19061,93653,89143,86403,93745,90609,80048,Dubuque,County,
19063,10302,11027,11569,13336,14009,14871,Emmet,County,
19065,20880,22008,21843,25488,26898,28581,Fayette,County,
19067,16303,16900,17058,19597,19860,21102,Floyd,County,
19069,10680,10704,11364,13036,13255,15472,Franklin,County,
19071,7441,8010,8226,9401,9282,10282,Fremont,County,
19073,9336,10366,10045,12119,12716,14379,Greene,County,
19075,12453,12369,12029,14366,14119,14132,Grundy,County,
19077,10954,11353,10935,11983,12243,13607,Guthrie,County,
19079,15673,16438,16071,17862,18383,20032,Hamilton,County,
19081,11341,12100,12638,13833,13227,14604,Hancock,County,
19083,17534,18812,19094,21776,22248,22533,Hardin,County,
19085,14928,15666,14730,16348,16240,17600,Harrison,County,
19087,20145,20336,19226,18890,18114,18187,Henry,County,
19089,9566,9932,9809,11114,11442,12734,Howard,County,
19091,9815,10381,10756,12246,12519,13156,Humboldt,County,
19093,7089,7837,8365,8908,9190,10269,Ida,County,
19095,16355,15671,14630,15429,15419,16396,Iowa,County,
19097,19848,20296,19950,22503,20839,20754,Jackson,County,
19099,36842,37213,34795,36425,35425,35282,Jasper,County,
19101,16843,16181,16310,16316,15774,15818,Jefferson,County,
19103,130882,111006,96119,81717,72127,53663,Johnson,County,
19105,20638,20221,19444,20401,19868,20693,Jones,County,
19107,10511,11400,11624,12921,13943,15492,Keokuk,County,
19109,15543,17163,18591,21891,22937,25314,Kossuth,County,
19111,35862,38052,38687,43106,42996,44207,Lee,County,
19113,211226,191701,168767,169775,163213,136899,Linn,County,
19115,11387,12183,11592,12055,10682,10290,Louisa,County,
19117,8898,9422,9070,10313,10163,10923,Lucas,County,
19119,11581,11763,11952,12896,13340,14468,Lyon,County,
19121,15679,14019,12483,12597,11558,12295,Madison,County,
19123,22381,22335,21522,22867,22177,23602,Mahaska,County,
19125,33309,32052,30001,29669,26352,25886,Marion,County,
19127,40648,39311,38276,41652,41076,37984,Marshall,County,
19129,15059,14547,13202,13406,11606,13050,Mills,County,
19131,10776,10874,10928,12329,13108,14043,Mitchell,County,
19133,9243,10020,10034,11692,12069,13916,Monona,County,
19135,7970,8016,8114,9209,9357,10463,Monroe,County,
19137,10740,11771,12076,13413,12781,14467,Montgomery,County,
19139,42745,41722,39907,40436,37181,33840,Muscatine,County,
19141,14398,15102,15444,16972,17522,18840,O'Brien,County,
19143,6462,7003,7267,8371,8555,10064,Osceola,County,
19145,15932,16976,16870,19063,18507,21023,Page,County,
19147,9421,10147,10669,12721,13289,14736,Palo,Alto,County
