FIPS,2010,2000,1990,1980,1970,1960,,,
17001,67103,68277,66090,71622,70861,68467,Adams,County,
17003,8238,9590,10626,12264,12015,16061,Alexander,County,
17005,17768,17633,14991,16224,14012,14060,Bond,County,
17007,54165,41786,30806,28630,25440,20326,Boone,County,
17009,6937,6950,5836,5411,5586,6210,Brown,County,
17011,34978,35503,35688,39114,38541,37594,Bureau,County,
17013,5089,5084,5322,5867,5675,5933,Calhoun,County,
17015,15387,16674,16805,18779,19276,19507,Carroll,County,
17017,13642,13695,13437,15084,14219,14539,Cass,County,
17019,201081,179669,173025,168392,163281,132436,Champaign,County,
17021,34800,35372,34418,36446,35948,37207,Christian,County,
17023,16335,17008,15921,16913,16216,16546,Clark,County,
17025,13815,14560,14460,15283,14735,15815,Clay,County,
17027,37762,35535,33944,32617,28315,24029,Clinton,County,
17029,53873,53196,51644,52260,47815,42860,Coles,County,
17031,5194675,5376741,5105067,5253655,5492369,5129725,Cook,County,
17033,19817,20452,19464,20818,19824,20751,Crawford,County,
17035,11048,11253,10670,11062,9772,9936,Cumberland,County,
17037,105160,88969,77932,74624,71654,51714,DeKalb,County,
17039,16561,16798,16516,18108,16975,17253,De,Witt,County
17041,19980,19922,19464,19774,18997,19243,Douglas,County,
17043,916924,904161,781666,658835,491882,313459,DuPage,County,
17045,18576,19704,19595,21725,21591,22550,Edgar,County,
17047,6721,6971,7440,7961,7090,7940,Edwards,County,
17049,34242,34264,31704,30944,24608,23107,Effingham,County,
17051,22140,21802,20893,22167,20752,21946,Fayette,County,
17053,14081,14241,14275,15265,16382,16606,Ford,County,
17055,39561,39018,40319,43201,38329,39281,Franklin,County,
17057,37069,38250,38080,43687,41890,41954,Fulton,County,
17059,5589,6445,6909,7590,7418,7638,Gallatin,County,
17061,13886,14761,15317,16661,17014,17460,Greene,County,
17063,50063,37535,32337,30582,26535,22350,Grundy,County,
17065,8457,8621,8499,9172,8665,10010,Hamilton,County,
17067,19104,20121,21373,23877,23645,24574,Hancock,County,
17069,4320,4800,5189,5383,4914,5879,Hardin,County,
17071,7331,8213,8096,9114,8451,8237,Henderson,County,
17073,50486,51020,51159,57968,53217,49317,Henry,County,
17075,29718,31334,30787,32976,33532,33562,Iroquois,County,
17077,60218,59612,61067,61522,55008,42151,Jackson,County,
17079,9698,10117,10609,11318,10741,11346,Jasper,County,
17081,38827,40045,37020,36552,31446,32315,Jefferson,County,
17083,22985,21668,20539,20538,18492,17023,Jersey,County,
17085,22678,22289,21821,23520,21766,21821,Jo,Daviess,County
17087,12582,12878,11347,9624,7550,6928,Johnson,County,
17089,515269,404119,317471,278405,251005,208246,Kane,County,
17091,113449,103833,96255,102926,97250,92063,Kankakee,County,
17093,114736,54544,39413,37202,26374,17540,Kendall,County,
17095,52919,55836,56393,61607,61280,61280,Knox,County,
17097,703462,644356,516418,440372,382638,293656,Lake,County,
17099,113924,111509,106913,112033,111409,110800,La,Salle,County
17101,16833,15452,15972,17807,17522,18540,Lawrence,County,
17103,36031,36062,34392,36328,37947,38749,Lee,County,
17105,38950,39678,39301,41381,40690,40341,Livingston,County,
17107,30305,31183,30798,31802,33538,33656,Logan,County,
17109,32612,32913,35244,37467,36653,28928,McDonough,County,
17111,308760,260077,183241,147897,111555,84210,McHenry,County,
17113,169572,150433,129180,119149,104389,83877,McLean,County,
17115,110768,114706,117206,131375,125010,118257,Macon,County,
17117,47765,49019,47679,49384,44557,43524,Macoupin,County,
17119,269282,258941,249238,247691,250934,224689,Madison,County,
17121,39437,41691,41561,43523,38986,39349,Marion,County,
17123,12640,13180,12846,14479,13302,13334,Marshall,County,
17125,14666,16038,16269,19492,16161,15193,Mason,County,
17127,15429,15161,14752,14990,13889,14341,Massac,County,
17129,12705,12486,11164,11700,9685,9248,Menard,County,
17131,16434,16957,17290,19286,17294,17149,Mercer,County,
17133,32957,27619,22422,20117,18831,15507,Monroe,County,
17135,30104,30652,30728,31686,30260,31244,Montgomery,County,
17137,35547,36616,36397,37502,36174,36571,Morgan,County,
17139,14846,14287,13930,14546,13263,13635,Moultrie,County,
17141,53497,51032,45957,46338,42867,38106,Ogle,County,
17143,186494,183433,182827,200466,195318,189044,Peoria,County,
17145,22350,23094,21412,21714,19757,19184,Perry,County,
17147,16729,16365,15548,16581,15509,14960,Piatt,County,
17149,16430,17384,17577,18896,19185,20552,Pike,County,
17151,4470,4413,4373,4404,3857,4061,Pope,County,
17153,6161,7348,7523,8840,8741,10490,Pulaski,County,
17155,6006,6086,5730,6085,5007,4570,Putnam,County,
17157,33476,33893,34583,35652,31379,29988,Randolph,County,
17159,16233,16149,16545,17587,16829,16299,Richland,County,
17161,147546,149374,148723,165968,166734,150991,Rock,Island,County
