FIPS,2010,2000,1990,1980,1970,1960,,,
18001,34387,33625,31095,29619,26871,24643,Adams,County,
18003,355329,331849,300836,294335,280455,232196,Allen,County,
18005,76794,71435,63657,65088,57022,48198,Bartholomew,County,
18007,8854,9421,9441,10218,11262,11912,Benton,County,
18009,12766,14048,14067,15570,15888,14792,Blackford,County,
18011,56640,46107,38147,36446,30870,27543,Boone,County,
18013,15242,14957,14080,12377,9057,7024,Brown,County,
18015,20155,20165,18809,19722,17734,16934,Carroll,County,
18017,38966,40930,38413,40936,40456,40931,Cass,County,
18019,110232,96472,87777,88838,75876,62795,Clark,County,
18021,26890,26556,24705,24862,23933,24207,Clay,County,
18023,33224,33866,30974,31545,30547,30765,Clinton,County,
18025,10713,10743,9914,9820,8033,8379,Crawford,County,
18027,31648,29820,27533,27836,26602,26636,Daviess,County,
18029,50047,46109,38835,34291,29430,28674,Dearborn,County,
18031,25740,24555,23645,23841,22738,20019,Decatur,County,
18033,42223,40285,35324,33606,30837,28271,De,Kalb,County
18035,117671,118769,119659,128587,129219,110938,Delaware,County,
18037,41889,39674,36616,34238,30934,27463,Dubois,County,
18039,197559,182791,156198,137330,126529,106790,Elkhart,County,
18041,24277,25588,26015,28272,26216,24454,Fayette,County,
18043,74578,70823,64404,61169,55622,51397,Floyd,County,
18045,17240,17954,17808,19033,18257,18706,Fountain,County,
18047,23087,22151,19580,19612,16943,17015,Franklin,County,
18049,20836,20511,18840,19335,16984,16957,Fulton,County,
18051,33503,32500,31913,33156,30444,29949,Gibson,County,
18053,70061,73403,74169,80934,83955,75741,Grant,County,
18055,33165,33157,30410,30416,26894,26327,Greene,County,
18057,274569,182740,108936,82027,54532,40132,Hamilton,County,
18059,70002,55391,45527,43939,35096,26665,Hancock,County,
18061,39364,34325,29890,27276,20423,19207,Harrison,County,
18063,145448,104093,75717,69804,53974,40896,Hendricks,County,
18065,49462,48508,48139,53336,52603,48899,Henry,County,
18067,82752,84964,80827,86896,83198,69509,Howard,County,
18069,37124,38075,35427,35596,34970,33814,Huntington,County,
18071,42376,41335,37730,36523,33187,30556,Jackson,County,
18073,33478,30043,24960,26138,20429,18842,Jasper,County,
18075,21253,21806,21512,23239,23575,22572,Jay,County,
18077,32428,31705,29797,30419,27006,24061,Jefferson,County,
18079,28525,27554,23661,22854,19454,17267,Jennings,County,
18081,139654,115209,88109,77240,61138,43704,Johnson,County,
18083,38440,39256,39884,41838,41546,41561,Knox,County,
18085,77358,74057,65294,59555,48127,40373,Kosciusko,County,
18087,37128,34909,29477,25550,20890,17380,Lagrange,County,
18089,496005,484564,475594,522965,546253,513269,Lake,County,
18091,111467,110106,107066,108632,105342,95111,La,Porte,County
18093,46134,45922,42836,42472,38038,36564,Lawrence,County,
18095,131636,133358,130669,139336,138451,125819,Madison,County,
18097,903393,860454,797159,765233,792299,697567,Marion,County,
18099,47051,45128,42182,39155,34986,32443,Marshall,County,
18101,10334,10369,10369,11001,10969,10608,Martin,County,
18103,36903,36082,36897,39820,39246,38000,Miami,County,
18105,137974,120563,108978,98785,84849,59225,Monroe,County,
18107,38124,37629,34436,35501,33930,32089,Montgomery,County,
18109,68894,66689,55920,51999,44176,33875,Morgan,County,
18111,14244,14566,13551,14844,11606,11502,Newton,County,
18113,47536,46275,37877,35443,31382,28162,Noble,County,
18115,6128,5623,5315,5114,4289,4165,Ohio,County,
18117,19840,19306,18409,18677,16968,16877,Orange,County,
18119,21575,21786,17281,15841,12163,11400,Owen,County,
18121,17339,17241,15410,16372,14600,14804,Parke,County,
18123,19338,18899,19107,19346,19075,17232,Perry,County,
18125,12845,12837,12509,13465,12281,12797,Pike,County,
18127,164343,146798,128932,119816,87114,60279,Porter,County,
18129,25910,27061,25968,26414,21740,19214,Posey,County,
18131,13402,13755,12643,13258,12534,12837,Pulaski,County,
18133,37963,36019,30315,29163,26932,24927,Putnam,County,
18135,26171,27401,27148,29997,28915,28434,Randolph,County,
18137,28818,26523,24616,24398,21138,20641,Ripley,County,
18139,17392,18261,18129,19604,20352,20393,Rush,County,
18141,266931,265559,247052,241617,245045,238614,St.,Joseph,County
18143,24181,22960,20991,20422,17144,14643,Scott,County,
18145,44436,43445,40307,39887,37797,34093,Shelby,County,
18147,20952,20391,19490,19361,17134,16074,Spencer,County,
18149,23363,23556,22747,21997,19280,17911,Starke,County,
18151,34185,33214,27446,24694,20159,17184,Steuben,County,
18153,21475,21751,18993,21107,19889,21721,Sullivan,County,
18155,10613,9065,7738,7153,6306,7092,Switzerland,County,
18157,172780,148955,130598,121702,109378,89122,Tippecanoe,County,
18159,15936,16577,16119,16819,16650,15856,Tipton,County,
18161,7516,7349,6976,6860,6582,6457,Union,County,
18163,179703,171922,165058,167515,168772,165794,Vanderburgh,County,
18165,16212,16788,16773,18229,16793,17683,Vermillion,County,
18167,107848,105848,106107,112385,114528,108458,Vigo,County,
18169,32888,34960,35069,36640,35553,32605,Wabash,County,
18171,8508,8419,8176,8976,8705,8545,Warren,County,
18173,59689,52383,44920,41474,27972,23577,Warrick,County,
18175,28262,27223,23717,21932,19278,17819,Washington,County,
18177,68917,71097,71951,76058,79109,74039,Wayne,County,
18179,27636,27600,25948,25401,23821,21220,Wells,County,
18181,24643,25267,23265,23867,20995,19709,White,County,
18183,33292,30707,27651,26215,23395,20954,Whitley,County,
