FIPS,2010,2000,1990,1980,1970,1960,,,
26001,10942,11719,10145,9740,7113,6352,Alcona,County,
26003,9601,9862,8972,9225,8568,9250,Alger,County,
26005,111408,105665,90509,81555,66575,57729,Allegan,County,
26007,29598,31314,30605,32315,30708,28556,Alpena,County,
26009,23580,23110,18185,16194,12612,10373,Antrim,County,
26011,15899,17269,14931,14706,11149,9860,Arenac,County,
26013,8860,8746,7954,8484,7789,7151,Baraga,County,
26015,59173,56755,50057,45781,38166,31738,Barry,County,
26017,107771,110157,111723,119881,117339,107042,Bay,County,
26019,17525,15998,12200,11205,8593,7834,Benzie,County,
26021,156813,162453,161378,171276,163875,149865,Berrien,County,
26023,45248,45787,41502,40188,37906,34903,Branch,County,
26025,136146,137985,135982,141557,141963,138858,Calhoun,County,
26027,52293,51104,49477,49499,43312,36932,Cass,County,
26029,25949,26090,21468,19907,16541,13421,Charlevoix,County,
26031,26152,26448,21398,20649,16573,14550,Cheboygan,County,
26033,38520,38543,34604,29029,32412,32655,Chippewa,County,
26035,30926,31252,24952,23822,16695,11647,Clare,County,
26037,75382,64753,57883,55893,48492,37969,Clinton,County,
26039,14074,14273,12260,9465,6482,4971,Crawford,County,
26041,37069,38520,37780,38947,35924,34298,Delta,County,
26043,26168,27472,26831,25341,23753,23917,Dickinson,County,
26045,107759,103655,92879,88337,68892,49684,Eaton,County,
26047,32694,31437,25040,22992,18331,15904,Emmet,County,
26049,425790,436141,430459,450449,444341,374313,Genesee,County,
26051,25692,26023,21896,19957,13471,10769,Gladwin,County,
26053,16427,17370,18052,19686,20676,24370,Gogebic,County,
26055,86986,77654,64273,54899,39175,33490,Grand,Traverse,County
26057,42476,42285,38982,40448,39246,37012,Gratiot,County,
26059,46688,46527,43431,42071,37171,34742,Hillsdale,County,
26061,36628,36016,35446,37872,34652,35654,Houghton,County,
26063,33118,36079,34951,36459,34083,34006,Huron,County,
26065,280895,279320,281912,275520,261039,211296,Ingham,County,
26067,63905,61518,57024,51815,45848,43132,Ionia,County,
26069,25887,27339,30209,28349,24905,16505,Iosco,County,
26071,11817,13138,13175,13635,13813,17184,Iron,County,
26073,70311,63351,54624,54110,44594,35348,Isabella,County,
26075,160248,158422,149756,151495,143274,131994,Jackson,County,
26077,250331,238603,223411,212378,201550,169712,Kalamazoo,County,
26079,17153,16571,13497,10952,5272,4382,Kalkaska,County,
26081,602622,574335,500631,444506,411044,363187,Kent,County,
26083,2156,2301,1701,1963,2264,2417,Keweenaw,County,
26085,11539,11333,8583,7711,5661,5338,Lake,County,
26087,88319,87904,74768,70038,52317,41926,Lapeer,County,
26089,21708,21119,16527,14007,10872,9321,Leelanau,County,
26091,99892,98890,91476,89948,81609,77789,Lenawee,County,
26093,180967,156951,115645,100289,58967,38233,Livingston,County,
26095,6631,7024,5763,6659,6789,7827,Luce,County,
26097,11113,11943,10674,10178,9660,10853,Mackinac,County,
26099,840978,788149,717400,694600,625309,405804,Macomb,County,
26101,24733,24527,21265,23019,20094,19042,Manistee,County,
26103,67077,64634,70887,74101,64686,56154,Marquette,County,
26105,28705,28274,25537,26365,22612,21929,Mason,County,
26107,42798,40553,37308,36961,27992,21051,Mecosta,County,
26109,24029,25326,24920,26201,24587,24685,Menominee,County,
26111,83629,82874,75651,73578,63769,51450,Midland,County,
26113,14849,14478,12147,10009,7126,6784,Missaukee,County,
26115,152021,145945,133600,134659,118479,101120,Monroe,County,
26117,63342,61266,53059,47555,39660,35795,Montcalm,County,
26119,9765,10315,8936,7492,5247,4424,Montmorency,County,
26121,172188,170200,158983,157589,157426,149943,Muskegon,County,
26123,48460,47874,38202,34917,27992,24160,Newaygo,County,
26125,1202362,1194156,1083592,1011793,907871,690259,Oakland,County,
26127,26570,26873,22454,22002,17984,16547,Oceana,County,
26129,21699,21645,18681,16436,11903,9680,Ogemaw,County,
26131,6780,7818,8854,9861,10548,10584,Ontonagon,County,
26133,23528,23197,20146,18928,14838,13595,Osceola,County,
26135,8640,9418,7842,6858,4726,3447,Oscoda,County,
26137,24164,23301,17957,14993,10422,7545,Otsego,County,
26139,263801,238314,187768,157174,128181,98719,Ottawa,County,
26141,13376,14411,13743,14267,12836,13117,Presque,Isle,County
26143,24449,25469,19776,16374,9892,7200,Roscommon,County,
26145,200169,210039,211946,228059,219743,190752,Saginaw,County,
26147,163040,164235,145607,138802,120175,107201,St.,Clair,County
26149,61295,62422,58913,56083,47392,42332,St.,Joseph,County
26151,43114,44547,39928,40789,34889,32314,Sanilac,County,
26153,8485,8903,8302,8575,8226,8953,Schoolcraft,County,
26155,70648,71687,69770,71140,63075,53446,Shiawassee,County,
26157,55729,58266,55498,56961,48603,43305,Tuscola,County,
26159,76258,76263,70060,66814,56173,48395,Van,Buren,County
26161,344791,322895,282937,264748,234103,172440,Washtenaw,County,
26163,1820584,2061162,2111687,2337891,2666751,2666297,Wayne,County,
26165,32735,30484,26360,25102,19717,18466,Wexford,County,
