FIPS,2010,2000,1990,1980,1970,1960,,,,,
27001,16202,15301,12425,13404,11403,12162,Aitkin,County,,,
27003,330844,298084,243641,195998,154556,85916,Anoka,County,,,
27005,32504,30000,27881,29336,24372,23959,Becker,County,,,
27007,44442,39650,34384,30982,26373,23425,Beltrami,County,,,
27009,38451,34226,30185,25187,20841,17287,Benton,County,,,
27011,5269,5820,6285,7716,7941,8954,Big,Stone,County,,
27013,64013,55941,54044,52314,52322,44385,Blue,Earth,County,,
27015,25893,26911,26984,28645,28887,27676,Brown,County,,,
27017,35386,31671,29259,29936,28072,27932,Carlton,County,,,
27019,91042,70205,47915,37046,28310,21358,Carver,County,,,
27021,28567,27150,21791,21050,17323,16720,Cass,County,,,
27023,12441,13088,13228,14941,15109,16320,Chippewa,County,,,
27025,53887,41101,30521,25717,17492,13419,Chisago,County,,,
27027,58999,51229,50422,49327,46585,39080,Clay,County,,,
27029,8695,8423,8309,8761,8013,8864,Clearwater,County,,,
27031,5176,5168,3868,4092,3423,3377,Cook,County,,,
27033,11687,12167,12694,14854,14887,16166,Cottonwood,County,,,
27035,62500,55099,44249,41722,34826,32134,Crow,Wing,County,,
27037,398552,355904,275227,194279,139808,78303,Dakota,County,,,
27039,20087,17731,15731,14773,13037,13259,Dodge,County,,,
27041,36009,32821,28674,27839,22892,21313,Douglas,County,,,
27043,14553,16181,16937,19714,20896,23685,Faribault,County,,,
27045,20866,21122,20777,21930,21916,23768,Fillmore,County,,,
27047,31255,32584,33060,36329,38064,37891,Freeborn,County,,,
27049,46183,44127,40690,38749,34763,33035,Goodhue,County,,,
27051,6018,6289,6246,7171,7462,8870,Grant,County,,,
27053,1152425,1116200,1032431,941411,960080,842854,Hennepin,County,,,
27055,19027,19718,18497,18382,17556,16588,Houston,County,,,
27057,20428,18376,14939,14098,10583,9962,Hubbard,County,,,
27059,37816,31287,25921,23600,16560,13530,Isanti,County,,,
27061,45058,43992,40863,43069,35530,38006,Itasca,County,,,
27063,10266,11268,11677,13690,14352,15501,Jackson,County,,,
27065,16239,14996,12802,12161,9775,9007,Kanabec,County,,,
27067,42239,41203,38761,36763,30548,29987,Kandiyohi,County,,,
27069,4552,5285,5767,6672,6853,8343,Kittson,County,,,
27071,13311,14355,16299,17571,17131,18190,Koochiching,County,,,
27073,7259,8067,8924,10592,11164,13330,Lac,qui,Parle,County,
27075,10866,11058,10415,13043,13351,13702,Lake,County,,,
27077,4045,4522,4076,3764,3987,4304,Lake,of,the,Woods,County
27079,27703,25426,23239,23434,21332,19906,Le,Sueur,County,,
27081,5896,6429,6890,8207,8143,9651,Lincoln,County,,,
27083,25857,25425,24789,25207,24273,22655,Lyon,County,,,
27085,36651,34898,32030,29657,27662,24401,McLeod,County,,,
27087,5413,5190,5044,5535,5638,6341,Mahnomen,County,,,
27089,9439,10155,10993,13027,13060,14262,Marshall,County,,,
27091,20840,21802,22914,24687,24316,26986,Martin,County,,,
27093,23300,22644,20846,20594,18810,18887,Meeker,County,,,
27095,26097,22330,18670,18430,15703,14560,Mille,Lacs,County,,
27097,33198,31712,29604,29311,26949,26641,Morrison,County,,,
27099,39163,38603,37385,40390,43783,48498,Mower,County,,,
27101,8725,9165,9660,11507,12508,14743,Murray,County,,,
27103,32727,29771,28076,26929,24518,23196,Nicollet,County,,,
27105,21378,20832,20098,21840,23208,23365,Nobles,County,,,
27107,6852,7442,7975,9379,10008,11253,Norman,County,,,
27109,144248,124277,106470,92006,84104,65532,Olmsted,County,,,
27111,57303,57159,50714,51937,46097,48960,Otter,Tail,County,,
27113,13930,13584,13306,15258,13266,12468,Pennington,County,,,
27115,29750,26530,21264,19871,16821,17004,Pine,County,,,
27117,9596,9895,10491,11690,12791,13605,Pipestone,County,,,
27119,31600,31369,32498,34844,34435,36182,Polk,County,,,
27121,10995,11236,10745,11657,11107,11914,Pope,County,,,
27123,508640,511035,485765,459784,476255,422525,Ramsey,County,,,
27125,4089,4299,4525,5471,5388,5830,Red,Lake,County,,
27127,16059,16815,17254,19341,20024,21718,Redwood,County,,,
27129,15730,17154,17673,20401,21139,23249,Renville,County,,,
27131,64142,56665,49183,46087,41582,38988,Rice,County,,,
27133,9687,9721,9806,10703,11346,11864,Rock,County,,,
27135,15629,16338,15026,12574,11569,12154,Roseau,County,,,
27137,200226,200528,198213,222229,220693,231588,St.,Louis,County,,
27139,129928,89498,57846,43784,32423,21909,Scott,County,,,
27141,88499,64417,41945,29908,18344,12861,Sherburne,County,,,
27143,15226,15356,14366,15448,15845,16228,Sibley,County,,,
27145,150642,133166,118791,108161,95400,80345,Stearns,County,,,
27147,36576,33680,30729,30328,26931,25029,Steele,County,,,
27149,9726,10053,10634,11322,11218,11262,Stevens,County,,,
27151,9783,11956,10724,12920,13177,14936,Swift,County,,,
27153,24895,24426,23363,24991,22114,23119,Todd,County,,,
27155,3558,4134,4463,5542,6254,7503,Traverse,County,,,
27157,21676,21610,19744,19335,17224,17007,Wabasha,County,,,
27159,13843,13713,13154,14192,12412,12199,Wadena,County,,,
27161,19136,19526,18079,18448,16663,16041,Waseca,County,,,
27163,238136,201130,145896,113571,82948,52432,Washington,County,,,
27165,11211,11876,11682,12361,13298,14460,Watonwan,County,,,
27167,6576,7138,7516,8454,9389,10650,Wilkin,County,,,
27169,51461,49985,47828,46256,44409,40937,Winona,County,,,
27171,124700,89986,68710,58681,38933,29935,Wright,County,,,
27173,10438,11080,11684,13653,14418,15523,Yellow,Medicine,County,,
