COUNTY,STATE,fips,statefip,x,y,pindpov60,logitindpov60,pag60,pex60,pman60,pserve60,pfire60,potprof60,pwh60,pblk60,pind60,phisp60,metro60,pindpov70,logitindpov70,pfampov70,logitfampov70,pag70,pex70,pman70,pserve70,pfire70,potprof70,pwh70,pblk70,pind70,phisp70,metro70,pindpov80,logitindpov80,pfampov80,logitfampov80,pag80,pex80,pman80,pserve80,pfire80,potprof80,pwh80,pblk80,pind80,phisp80,metro80,pindpov90,logitindpov90,pfampov90,logitfampov90,pag90,pex90,pman90,pserve90,pfire90,potprof90,pwh90,pblk90,pind90,phisp90,metro90,pindpov00,logitindpov00,pfampov00,logitfampov00,pag00,pex00,pman00,pserve00,pfire00,potprof00,pwh00,pblk00,pind00,phisp00,metro00,pindpov06,logitindpov06,pfampov06,logitfampov06,pag06,pex06,pman06,pserve06,pfire06,potprof06,pwh06,pblk06,pind06,phisp06,metro06,09pop
ADAMS,Illinois,17001,17,-91.1959,39.9909,0.21762527,-1.279559181,0.1033066,0.0037703,0.297,0.2175847,0.0277872,0.0891679,0.9791725,0.0202287,0.0001168,0.0007595,0,0.12647024,-1.932535175,0.093,-2.277542957,0.0685742,0.0021714,0.282,0.069,0.032571,0.1786502,0.9780838,0.021,0.0004657,0.006178,0,0.10969957,-2.09381352,0.0870549,-2.350136793,0.0542573,0.0084786,0.2450117,0.2630475,0.0407454,0.2259872,0.9705258,0.0237776,0.0010332,0.0042305,0,0.13151443,-1.887634391,0.1033074,-2.161004096,0.0499231,0.0036422,0.1767402,0.2963358,0.0420735,0.2783447,0.9663187,0.0252383,0.001846,0.0023302,0,0.10018485,-2.195172374,0.0742067,-2.523796549,0.026903,0.0032204,0.1574568,0.2936533,0.0536635,0.2943658,0.9464095,0.0294682,0.0017136,0.0090367,0,0.123,-1.964322637,0.083,-2.402266864,0.0195156,0.003035086,0.161587957,0.316589778,0.054692242,0.324056088,0.933492466,0.033746084,0.001297926,0.012576458,0,"37,728"
ALEXANDER,Illinois,17003,17,-89.3391,37.195,0.48633271,-0.054682782,0.076895,0.0027397,0.108,0.3326027,0.0210046,0.0683105,0.6690119,0.3298674,0.0001245,0.0000546,0,0.3875,-0.457833094,0.318,-0.762978275,0.0513996,0.0074807,0.159,0.081,0.0236486,0.1937741,0.7144403,0.281,0.0009988,0.006178,0,0.26527583,-1.018724997,0.1817337,-1.504645405,0.0570736,0.0057294,0.1216395,0.2514324,0.0226972,0.2672984,0.6837084,0.3105023,0.0009785,0.0083986,0,0.32244278,-0.742568313,0.275392,-0.967435282,0.052645,0.0148224,0.1328904,0.2315359,0.0268336,0.2793253,0.6629964,0.3297572,0.001694,0.002635,0,0.26110124,-1.040252691,0.2120253,-1.312760376,0.0233452,0.0049437,0.1397968,0.2150508,0.0197748,0.3490799,0.621585,0.3469239,0.0013556,0.0150156,0,0.201,-1.380056038,0.118,-2.011507432,0.007388371,0.019916479,0.09990363,0.27336974,0.055573402,0.440089945,0.610723163,0.356373535,0,0.010415434,0,"3,393"
BOND,Illinois,17005,17,-89.4437,38.8863,0.30468344,-0.825093888,0.2028818,0.0061479,0.191,0.2096061,0.0226705,0.0795389,0.9937411,0.005761,0,0.0000546,0,0.16389638,-1.629518154,0.132,-1.883389792,0.1234753,0.0039407,0.196,0.08,0.0234566,0.1658848,0.9829432,0.016,0.0004282,0.006178,0,0.13181612,-1.884995614,0.1095984,-2.094849821,0.1081457,0.0111204,0.1836252,0.206839,0.028635,0.2397832,0.9706607,0.0245316,0.0012944,0.0036366,0,0.12068844,-1.985926934,0.0885645,-2.331289729,0.0554149,0.0054852,0.1755274,0.2390999,0.0351617,0.2905767,0.959509,0.0284171,0.0050697,0.0059369,0,0.09338444,-2.272993765,0.0669273,-2.634876163,0.0451478,0.0014722,0.1778923,0.2435284,0.0471108,0.3076923,0.8984291,0.0737254,0.0055578,0.0146884,1,0.108,-2.111334905,0.074,-2.526809141,0.030288633,0.00118779,0.122223542,0.292671339,0.053569308,0.343865067,0.936494638,0.025357462,0.00016756,0.026977212,1,"8,581"
BOONE,Illinois,17007,17,-88.825,42.3223,0.14386348,-1.783565055,0.1643933,0.0010675,0.378,0.1977227,0.0231289,0.0492231,0.9974909,0.0016235,0.0003936,0,0,0.06273209,-2.704096046,0.052,-2.903110784,0.0669112,0.0005367,0.468,0.043,0.0380177,0.1033187,0.9942217,0.003,0.0006682,0.02,0,0.06570813,-2.654566222,0.0538152,-2.866881944,0.0477564,0.001266,0.3878886,0.1959488,0.0467717,0.1556478,0.9736989,0.0032833,0.001467,0.0433112,0,0.07209019,-2.555016567,0.0569479,-2.806984716,0.0366779,0.0024866,0.3633595,0.2251026,0.0398483,0.1735671,0.9231319,0.0056807,0.0019152,0.0639486,1,0.07006493,-2.585692383,0.0513675,-2.916015797,0.0164168,0.0003321,0.2969729,0.2372841,0.0552287,0.2092902,0.8510985,0.0040683,0.0016513,0.1265256,1,0.104,-2.153549514,0.079,-2.456012184,0.010511768,0.002889689,0.217354887,0.291607337,0.064452634,0.233478516,0.760225512,0.023297926,0.003080255,0.19428006,1,"26,719"
BROWN,Illinois,17009,17,-90.7561,39.9647,0.41907562,-0.326569213,0.336908,0.0035746,0.068,0.2363718,0.0178731,0.0384272,0.999678,0.0003221,0,0.0000546,0,0.22045662,-1.263007397,0.204,-1.361479192,0.2483026,0.0067895,0.126,0.067,0.0358875,0.1100873,0.9983888,0.001,0.0005371,0.006178,0,0.16366366,-1.631217384,0.1314924,-1.887827281,0.1892013,0.0031236,0.1325301,0.2396252,0.0392682,0.194556,0.9987063,0.0001848,0.0007392,0.0033266,0,0.13520249,-1.855721806,0.1047041,-2.146016002,0.1449782,0.0122271,0.1,0.269869,0.0375546,0.2820961,0.8824537,0.0937286,0.0003427,0.0209047,0,0.08477648,-2.379150174,0.0483755,-2.979177037,0.0862925,0.002291,0.1084383,0.3150057,0.039328,0.3043146,0.7794245,0.1778417,0.0010072,0.0378417,0,0.12,-1.992430165,0.099,-2.208385407,0.084644832,0.009783071,0.070182901,0.280306253,0.04636325,0.398979158,0.741046832,0.185877918,0.001449906,0.066550674,0,"3,580"
BUREAU,Illinois,17011,17,-89.535,41.4068,0.21038879,-1.322583485,0.2172126,0.0042483,0.23,0.2061806,0.0174044,0.065849,0.998803,0.000931,0.0000798,0.0072352,0,0.08753004,-2.344173116,0.065,-2.666159259,0.1152869,0.0030472,0.289,0.059,0.0252666,0.1378873,0.9986249,0.001,0.0002854,0.033,0,0.07904198,-2.455435351,0.05347,-2.873681917,0.1099606,0.0030388,0.2494091,0.2271244,0.044457,0.1727068,0.9860663,0.0011249,0.0031958,0.0206831,0,0.10399635,-2.153588684,0.0796662,-2.446891025,0.0988953,0.0038953,0.2146512,0.2536047,0.0417442,0.2086628,0.9649182,0.0008406,0.0017373,0.0278525,0,0.07261019,-2.547268714,0.0542526,-2.858324597,0.0528022,0.0045055,0.1929121,0.2711538,0.0464286,0.2496154,0.9343154,0.0018308,0.002366,0.0476016,0,0.111,-2.080567034,0.086,-2.363483275,0.03848891,0.002550113,0.163918871,0.341240659,0.046672993,0.268651406,0.905082234,0.007182966,0.002508337,0.072428242,0,"19,252"
CALHOUN,Illinois,17013,17,-90.6701,39.1668,0.27766044,-0.956096405,0.3448276,0.0131132,0.093,0.1680427,0.0135988,0.057795,0.9994944,0.0001685,0,0.0000546,0,0.20092626,-1.380515257,0.183,-1.496152942,0.2513882,0.0131247,0.128,0.043,0.0186774,0.0903584,1,0,0.0005286,0.006178,0,0.13873936,-1.825800111,0.1011868,-2.184106913,0.142043,0.0052609,0.0933801,0.20605,0.0192898,0.2021043,0.996932,0,0.0006818,0.0027271,0,0.15149781,-1.722901496,0.1173297,-2.017963824,0.1477855,0.0079254,0.0993007,0.1958042,0.0424242,0.2307692,0.9941751,0.0001879,0.0015032,0.001879,0,0.08965929,-2.317802116,0.073255,-2.537731942,0.0799674,0.004896,0.1073031,0.2080783,0.0616075,0.2864137,0.983871,0,0.0031471,0.0068843,1,0.117,-2.021151266,0.072,-2.556365614,0.031992687,0.009140768,0.111517367,0.302102377,0.0511883,0.268738574,0.981242673,0.001563111,0,0.00332161,1,"2,567"
CARROLL,Illinois,17015,17,-89.9394,42.0706,0.24236602,-1.13975133,0.2298153,0.0024545,0.132,0.2072084,0.0288076,0.0563235,0.9947711,0.0043061,0.0006664,0.0063054,0,0.0916324,-2.293864222,0.075,-2.512305624,0.1562219,0,0.204,0.049,0.0272809,0.1669026,0.9954348,0.004,0.0006225,0.006178,0,0.10332303,-2.16083538,0.0798399,-2.444524297,0.1344717,0.0023716,0.2312344,0.1944741,0.044231,0.1945927,0.9890303,0.0035146,0.0011715,0.0125672,0,0.11710726,-2.020113454,0.0920528,-2.288823902,0.1214356,0.0028269,0.2062439,0.2202557,0.0506391,0.2134956,0.9643558,0.0108301,0,0.0217197,0,0.09642159,-2.237632752,0.0735608,-2.533236145,0.0594477,0.0010853,0.2440613,0.2034246,0.0461835,0.2305559,0.9623966,0.0052777,0.0016793,0.0178122,0,0.117,-2.021151266,0.078,-2.469836397,0.041029662,0.001045342,0.176793414,0.26839148,0.05880047,0.264732785,0.951264809,0.009542107,0.001601025,0.023054755,0,"7,991"
CASS,Illinois,17017,17,-90.2506,39.978,0.26535644,-1.01831145,0.1829202,0.0021712,0.144,0.2373801,0.0247874,0.0495748,0.9992434,0.0001376,0.000619,0.0000546,0,0.14873078,-1.74459061,0.109,-2.100996545,0.1218974,0.0020224,0.207,0.065,0.0356683,0.1641846,0.9983824,0,0.0003516,0.006178,0,0.10207111,-2.174421151,0.0786217,-2.461222958,0.1083027,0.0027574,0.2029718,0.2048101,0.0422794,0.2106311,0.9961548,0.0007955,0.0009944,0.005171,0,0.13875086,-1.825703873,0.1154667,-2.036077985,0.0946412,0.004544,0.1685992,0.2187402,0.0462238,0.258853,0.9944184,0,0.0004465,0.0039443,0,0.11958302,-1.996384778,0.0916644,-2.293479832,0.0549898,0,0.197847,0.2090486,0.0440791,0.2893512,0.9000365,0.0013143,0.0010953,0.0881344,0,0.129,-1.909829572,0.101,-2.186162518,0.040684533,0.002098805,0.170971908,0.289312238,0.043590572,0.336938973,0.81337925,0.026670574,0.001025791,0.14764068,0,"7,453"
CHAMPAIGN,Illinois,17019,17,-88.2038,40.1429,0.16611264,-1.613432221,0.0745174,0.0006128,0.078,0.2510614,0.0279905,0.0856786,0.9408318,0.051119,0.000302,0.0007853,0,0.11830978,-2.008534331,0.072,-2.556365614,0.0385157,0.0006258,0.088,0.068,0.0324145,0.1952849,0.9209645,0.065,0.0008697,0.013,1,0.1319302,-1.883999131,0.0696672,-2.591812753,0.0310158,0.0018401,0.0964493,0.2715882,0.0430977,0.405409,0.8815442,0.0870647,0.0015975,0.0142822,1,0.15572437,-1.690391432,0.080345,-2.437668737,0.0229958,0.0006046,0.0974135,0.2712343,0.0447056,0.4304684,0.837012,0.0955584,0.0024794,0.0190088,1,0.16068501,-1.653140082,0.0691807,-2.599343244,0.012403,0.0005371,0.0826257,0.2947429,0.0452952,0.403269,0.7765781,0.111121,0.0015863,0.027456,1,0.205,-1.355332136,0.097,-2.231011575,0.009582615,0.000190449,0.078996432,0.266418748,0.053726795,0.444829798,0.718644342,0.124113672,0.001880051,0.049371548,1,"107,182"
