FIPS,2010,2000,1990,1980,1970,1960,,,,
55001,20875,18643,15682,13457,9234,7566,Adams,County,,
55003,16157,16866,16307,16783,16743,17375,Ashland,County,,
55005,45870,44963,40750,38730,33955,34270,Barron,County,,
55007,15014,15013,14008,13822,11683,11910,Bayfield,County,,
55009,248007,226778,194594,175280,158244,125082,Brown,County,,
55011,13587,13804,13584,14309,13743,14202,Buffalo,County,,
55013,15457,15674,13084,12340,9276,9214,Burnett,County,,
55015,48971,40631,34291,30867,27604,22268,Calumet,County,,
55017,62415,55195,52360,52127,47717,45096,Chippewa,County,,
55019,34690,33557,31647,32910,30361,31527,Clark,County,,
55021,56833,52468,45088,43222,40150,36708,Columbia,County,,
55023,16644,17243,15940,16556,15252,16351,Crawford,County,,
55025,488073,426526,367085,323545,290272,222095,Dane,County,,
55027,88759,85897,76559,75064,69004,63170,Dodge,County,,
55029,27785,27961,25690,25029,20106,20685,Door,County,,
55031,44159,43287,41758,44421,44657,45008,Douglas,County,,
55033,43857,39858,35909,34314,29154,26156,Dunn,County,,
55035,98736,93142,85183,78805,67219,58300,Eau,Claire,County,
55037,4423,5088,4590,4172,3298,3437,Florence,County,,
55039,101633,97296,90083,88964,84567,75085,Fond,du,Lac,County
55041,9304,10024,8776,9044,7691,7542,Forest,County,,
55043,51208,49597,49264,51736,48398,44419,Grant,County,,
55045,36842,33647,30339,30012,26714,25851,Green,County,,
55047,19051,19105,18651,18370,16878,15418,Green,Lake,County,
55049,23687,22780,20150,19802,19306,19631,Iowa,County,,
55051,5916,6861,6153,6730,6533,7830,Iron,County,,
55053,20449,19100,16588,16831,15325,15151,Jackson,County,,
55055,83686,74021,67783,66152,60060,50094,Jefferson,County,,
55057,26664,24316,21650,21039,18455,17490,Juneau,County,,
55059,166426,149577,128181,123137,117917,100615,Kenosha,County,,
55061,20574,20187,18878,19539,18961,18282,Kewaunee,County,,
55063,114638,107120,97904,91056,80468,72465,La,Crosse,County,
55065,16836,16137,16076,17412,17456,18142,Lafayette,County,,
55067,19977,20740,19505,19978,19220,19916,Langlade,County,,
55069,28743,29641,26993,26555,23499,22338,Lincoln,County,,
55071,81442,82887,80421,82918,82294,75215,Manitowoc,County,,
55073,134063,125834,115400,111270,97457,88874,Marathon,County,,
55075,41749,43384,40548,39314,35810,34660,Marinette,County,,
55077,15404,15832,12321,11672,8865,8516,Marquette,County,,
55078,4232,4562,3890,3373,2607,2500,Menominee,County,,
55079,947735,940164,959275,964988,1054063,1036041,Milwaukee,County,,
55081,44673,40899,36633,35074,31610,31241,Monroe,County,,
55083,37660,35634,30226,28947,25553,25110,Oconto,County,,
55085,35998,36776,31679,31216,24427,22112,Oneida,County,,
55087,176695,160971,140510,128799,119356,101794,Outagamie,County,,
55089,86395,82317,72831,66981,54421,38441,Ozaukee,County,,
55091,7469,7213,7107,7477,7319,7332,Pepin,County,,
55093,41019,36804,32765,31149,26652,22503,Pierce,County,,
55095,44205,41319,34773,32351,26666,24968,Polk,County,,
55097,70019,67182,61405,57420,47541,36964,Portage,County,,
55099,14159,15822,15600,15788,14520,14370,Price,County,,
55101,195408,188831,175034,173132,170838,141781,Racine,County,,
55103,18021,17924,17521,17476,17079,17684,Richland,County,,
55105,160331,152307,139510,139420,131970,113913,Rock,County,,
55107,14755,15347,15079,15589,14238,14794,Rusk,County,,
55109,84345,63155,50251,43262,34354,29164,St.,Croix,County,
55111,61976,55225,46975,43469,39057,36179,Sauk,County,,
55113,16557,16196,14181,12843,9670,9475,Sawyer,County,,
55115,41949,40664,37157,35928,32650,34351,Shawano,County,,
55117,115507,112646,103877,100935,96660,86484,Sheboygan,County,,
55119,20689,19680,18901,18817,16958,17843,Taylor,County,,
55121,28816,27010,25263,26158,23344,23377,Trempealeau,County,,
55123,29773,28056,25617,25642,24557,25663,Vernon,County,,
55125,21430,21033,17707,16535,10958,9332,Vilas,County,,
55127,102228,93759,75000,71507,63444,52368,Walworth,County,,
55129,15911,16036,13772,13174,10601,10301,Washburn,County,,
55131,131887,117493,95328,84848,63839,46119,Washington,County,,
55133,389891,360767,304715,280326,231365,158249,Waukesha,County,,
55135,52410,51731,46104,42831,37780,35340,Waupaca,County,,
55137,24496,23154,19385,18526,14795,13497,Waushara,County,,
55139,166994,156763,140320,131703,129931,107928,Winnebago,County,,
55141,74749,75555,73605,72799,65362,59105,Wood,County,,
