"","x"
"1",8831
"2",321
"3",4991
"4",3381
"5",8592
"6",2650
"7",1745
"8",2315
"9",4036
"10",6166
"11",3420
"12",4689
"13",3619
"14",1895
"15",6332
"16",3637
"17",989
"18",2271
"19",8225
"20",3192
"21",4068
"22",6284
"23",2638
"24",4269
"25",9871
"26",2787
"27",6591
"28",4396
"29",3897
"30",1330
"31",8130
"32",704
"33",7320
"34",2248
"35",6786
"36",4593
"37",9479
"38",9629
"39",1760
"40",5376
"41",5539
"42",2933
"43",1472
"44",1977
"45",5207
"46",8805
"47",9710
"48",4428
"49",2510
"50",7155
"51",477
"52",7781
"53",492
"54",6402
"55",6090
"56",6051
"57",6229
"58",1761
"59",6943
"60",3604
"61",158
"62",3953
"63",2314
"64",2679
"65",589
"66",4929
"67",5706
"68",8316
"69",7369
"70",9306
"71",5483
"72",3669
"73",4693
"74",5407
"75",2647
"76",8017
"77",2721
"78",5132
"79",5478
"80",2521
"81",6206
"82",9306
"83",5945
"84",6789
"85",2498
"86",270
"87",3747
"88",4394
"89",3368
"90",7019
"91",5071
"92",9463
"93",3209
"94",6724
"95",6626
"96",916
"97",4164
"98",3284
"99",52
"100",805
"101",8911
"102",4347
"103",5942
"104",5579
"105",9242
"106",4488
"107",9973
"108",8053
"109",1492
"110",7654
"111",3907
"112",3191
"113",4233
"114",9341
"115",6860
"116",4749
"117",1749
"118",9379
"119",2666
"120",187
"121",59
"122",9170
"123",2437
"124",3768
"125",3379
"126",1392
"127",7450
"128",6325
"129",2446
"130",5461
"131",84
"132",1995
"133",5311
"134",1593
"135",1685
"136",7950
"137",9086
"138",1233
"139",9715
"140",7964
"141",832
"142",9541
"143",2434
"144",4423
"145",5830
"146",3584
"147",2214
"148",4000
"149",2955
"150",8900
"151",4685
"152",1113
"153",7538
"154",8487
"155",9669
"156",8096
"157",8520
"158",3437
"159",1690
"160",4828
"161",6843
"162",6993
"163",3813
"164",1309
"165",6867
"166",4483
"167",5400
"168",3877
"169",9182
"170",1623
"171",8470
"172",9017
"173",5834
"174",8030
"175",61
"176",1574
"177",9067
"178",6289
"179",6537
"180",9273
"181",9190
"182",374
"183",9657
"184",8728
"185",157
"186",213
"187",2851
"188",7423
"189",8100
"190",4881
"191",2613
"192",6332
"193",5700
"194",9971
"195",9293
"196",7777
"197",2633
"198",7493
"199",3161
"200",7092
"201",6996
"202",8403
"203",911
"204",4298
"205",9987
"206",8018
"207",8590
"208",6074
"209",8831
"210",3700
"211",3160
"212",6391
"213",3112
"214",8024
"215",2725
"216",9763
"217",963
"218",7739
"219",8023
"220",7663
"221",2213
"222",1861
"223",3762
"224",5703
"225",2969
"226",3716
"227",4253
"228",7068
"229",2087
"230",9657
"231",8717
"232",7490
"233",7688
"234",4416
"235",8963
"236",24
"237",7691
"238",3434
"239",6865
"240",3253
"241",5878
"242",6428
"243",5355
"244",780
"245",2504
"246",6043
"247",6287
"248",703
"249",2804
"250",8519
"251",6258
"252",3048
"253",5828
"254",6383
"255",140
"256",7382
"257",7151
"258",9807
"259",385
"260",1776
"261",2666
"262",8162
"263",7848
"264",9688
"265",9157
"266",2136
"267",67
"268",7028
"269",1263
"270",3613
"271",5350
"272",8793
"273",2882
"274",8870
"275",4424
"276",7844
"277",9652
"278",3130
"279",310
"280",9837
"281",9894
"282",7223
"283",4972
"284",8165
"285",8601
"286",5082
"287",2979
"288",9318
"289",3086
"290",8711
"291",8886
"292",7839
"293",1523
"294",437
"295",262
"296",6860
"297",9657
"298",6991
"299",2223
"300",5103
"301",63
"302",3885
"303",877
"304",2394
"305",2224
"306",3336
"307",5363
"308",7965
"309",4974
"310",1161
"311",4261
"312",7269
"313",1527
"314",7814
"315",5091
"316",2669
"317",4660
"318",5240
"319",1388
"320",7120
"321",3704
"322",318
"323",2130
"324",5469
"325",8323
"326",9793
"327",4278
"328",8203
"329",3559
"330",1885
"331",3273
"332",244
"333",342
"334",8318
"335",6453
"336",2055
"337",8270
"338",6285
"339",3587
"340",9624
"341",2661
"342",8693
"343",726
"344",5187
"345",8085
"346",5906
"347",9252
"348",1975
"349",815
"350",9745
"351",3134
"352",101
"353",8269
"354",80
"355",4523
"356",4345
"357",5094
"358",1516
"359",7890
"360",1874
"361",4161
"362",4993
"363",3851
"364",5234
"365",5161
"366",7736
"367",1195
"368",6973
"369",2034
"370",17
"371",4952
"372",2260
"373",350
"374",3772
"375",3559
"376",9417
"377",9049
"378",3437
"379",3738
"380",1551
"381",2789
"382",3965
"383",9648
"384",5722
"385",7630
"386",8041
"387",8478
"388",8139
"389",3421
"390",503
"391",5245
"392",9551
"393",2208
"394",1388
"395",4712
"396",8091
"397",3346
"398",254
"399",2189
"400",7262
"401",7215
"402",4991
"403",5216
"404",428
"405",7191
"406",8781
"407",6764
"408",2877
"409",799
"410",9146
"411",5096
"412",8922
"413",1328
"414",1225
"415",2303
"416",5414
"417",3235
"418",8801
"419",3504
"420",4620
"421",9460
"422",514
"423",9495
"424",7096
"425",6233
"426",2960
"427",1129
"428",1725
"429",3479
"430",6222
"431",3531
"432",7515
"433",6420
"434",5207
"435",2413
"436",5433
"437",8008
"438",8475
"439",3925
"440",2938
"441",279
"442",5763
"443",1190
"444",6867
"445",1496
"446",2601
"447",4635
"448",6131
"449",7173
"450",3066
"451",5117
"452",9743
"453",9874
"454",8472
"455",6107
"456",6670
"457",8664
"458",9973
"459",607
"460",9882
"461",497
"462",4127
"463",9285
"464",7833
"465",5635
"466",2460
"467",7242
"468",3953
"469",4490
"470",7739
"471",146
"472",1896
"473",7293
"474",7306
"475",2532
"476",6517
"477",9468
"478",2848
"479",9324
"480",7084
"481",5738
"482",9543
"483",7904
"484",5473
"485",4066
"486",1370
"487",254
"488",8138
"489",1028
"490",4380
"491",8737
"492",3865
"493",2342
"494",7878
"495",2281
"496",692
"497",7040
"498",4744
"499",7245
"500",7696
"501",8401
"502",3817
"503",6389
"504",5963
"505",5555
"506",5644
"507",7613
"508",473
"509",5182
"510",7367
"511",550
"512",3192
"513",4572
"514",5138
"515",1391
"516",5627
"517",7805
"518",637
"519",3202
"520",3185
"521",7613
"522",8847
"523",9660
"524",2455
"525",6416
"526",7385
"527",6851
"528",1230
"529",6703
